image,label,super_label
images/train/45/45257/travel_website/6675568.jpg,266,45
images/train/45/45257/travel_website/6675571.jpg,266,45
images/train/45/45257/travel_website/6675569.jpg,266,45
images/train/45/45257/travel_website/6675570.jpg,266,45
images/train/45/45257/travel_website/6675572.jpg,266,45
images/train/45/45257/travel_website/6675573.jpg,266,45
images/train/45/45257/travel_website/6675567.jpg,266,45
images/train/45/33034/travel_website/6457777.jpg,284,45
images/train/45/33034/travel_website/6457776.jpg,284,45
images/train/45/33034/travel_website/6457782.jpg,284,45
images/train/45/33034/travel_website/6457778.jpg,284,45
images/train/45/33034/travel_website/6457781.jpg,284,45
images/train/45/33034/travel_website/6457780.jpg,284,45
images/train/45/33034/travel_website/6457779.jpg,284,45
images/train/45/593/travel_website/8172552.jpg,314,45
images/train/45/593/travel_website/8172553.jpg,314,45
images/train/45/593/travel_website/8172551.jpg,314,45
images/train/45/593/travel_website/8172550.jpg,314,45
images/train/45/593/travel_website/8172549.jpg,314,45
images/train/45/593/travel_website/8172548.jpg,314,45
images/train/45/27944/travel_website/6419750.jpg,400,45
images/train/45/27944/travel_website/6419749.jpg,400,45
images/train/45/27944/travel_website/6419751.jpg,400,45
images/train/45/27944/travel_website/6419752.jpg,400,45
images/train/45/27944/travel_website/6419753.jpg,400,45
images/train/45/27944/travel_website/6419748.jpg,400,45
images/test/unoccluded/19/112506/traffickcam/3931450.jpg,1135,19
images/train/19/112506/traffickcam/3931447.jpg,1135,19
images/train/19/112506/traffickcam/3931449.jpg,1135,19
images/train/19/112506/travel_website/8669781.jpg,1135,19
images/train/19/112506/travel_website/8669779.jpg,1135,19
images/train/19/112506/travel_website/8669780.jpg,1135,19
images/train/19/112506/travel_website/8669778.jpg,1135,19
images/train/51/25553/travel_website/6596751.jpg,30232,51
images/train/51/25553/travel_website/6596749.jpg,30232,51
images/train/51/25553/travel_website/6596750.jpg,30232,51
images/train/51/25553/travel_website/6596748.jpg,30232,51
images/train/69/51452/travel_website/6220072.jpg,30626,69
images/train/69/51452/travel_website/6220067.jpg,30626,69
images/train/69/51452/travel_website/6220068.jpg,30626,69
images/train/69/51452/travel_website/6220071.jpg,30626,69
images/train/69/51452/travel_website/6220066.jpg,30626,69
images/train/69/51452/travel_website/6220070.jpg,30626,69
images/train/69/51452/travel_website/6220069.jpg,30626,69
images/train/69/7688/travel_website/6180710.jpg,30662,69
images/train/69/7688/travel_website/6180711.jpg,30662,69
images/train/69/7688/travel_website/6180716.jpg,30662,69
images/train/69/7688/travel_website/6180714.jpg,30662,69
images/train/69/7688/travel_website/6180715.jpg,30662,69
images/train/69/7688/travel_website/6180712.jpg,30662,69
images/train/69/7688/travel_website/6180713.jpg,30662,69
images/train/87/12096/travel_website/6995747.jpg,30706,87
images/train/87/12096/travel_website/6995749.jpg,30706,87
images/train/87/12096/traffickcam/2677975.jpg,30706,87
images/train/87/12096/travel_website/6995750.jpg,30706,87
images/train/87/12096/travel_website/6995746.jpg,30706,87
images/train/87/12096/travel_website/6995748.jpg,30706,87
images/train/87/11108/traffickcam/3867397.jpg,30750,87
images/train/87/11108/travel_website/6855663.jpg,30750,87
images/train/87/11108/travel_website/6855662.jpg,30750,87
images/train/87/11108/travel_website/6855661.jpg,30750,87
images/train/87/11108/traffickcam/3867394.jpg,30750,87
images/train/87/11108/traffickcam/3867395.jpg,30750,87
images/train/87/11108/travel_website/6855664.jpg,30750,87
images/train/87/13138/travel_website/7756272.jpg,31084,87
images/train/87/13138/travel_website/7756271.jpg,31084,87
images/train/87/13138/travel_website/7756273.jpg,31084,87
images/train/87/13138/travel_website/7756275.jpg,31084,87
images/train/87/13138/travel_website/7756274.jpg,31084,87
images/train/63/20296/travel_website/6971957.jpg,31118,63
images/train/63/20296/travel_website/6971958.jpg,31118,63
images/train/63/20296/travel_website/6971959.jpg,31118,63
images/train/63/20296/travel_website/6971956.jpg,31118,63
images/train/63/20296/travel_website/6971960.jpg,31118,63
images/train/63/20296/travel_website/6971961.jpg,31118,63
images/train/63/20296/traffickcam/3936181.jpg,31118,63
images/train/63/32542/travel_website/7005929.jpg,31143,63
images/train/63/32542/travel_website/7005927.jpg,31143,63
images/train/63/32542/travel_website/7005925.jpg,31143,63
images/train/63/32542/travel_website/7005926.jpg,31143,63
images/train/63/32542/travel_website/7005928.jpg,31143,63
images/train/63/32542/travel_website/7005930.jpg,31143,63
images/train/63/32542/travel_website/7005924.jpg,31143,63
images/train/63/17485/travel_website/6441580.jpg,31144,63
images/train/63/17485/travel_website/6441584.jpg,31144,63
images/train/63/17485/travel_website/6441583.jpg,31144,63
images/train/63/17485/travel_website/6441581.jpg,31144,63
images/train/63/17485/travel_website/6441579.jpg,31144,63
images/train/63/17485/travel_website/6441582.jpg,31144,63
images/train/63/17485/travel_website/6441578.jpg,31144,63
images/train/63/44670/travel_website/7093227.jpg,31146,63
images/train/63/44670/travel_website/7093221.jpg,31146,63
images/train/63/44670/travel_website/7093223.jpg,31146,63
images/train/63/44670/travel_website/7093225.jpg,31146,63
images/train/63/44670/travel_website/7093224.jpg,31146,63
images/train/63/44670/travel_website/7093222.jpg,31146,63
images/train/63/44670/travel_website/7093226.jpg,31146,63
images/train/63/67867/travel_website/8069485.jpg,31148,63
